TYPE,AUTO_START,AUTO_END,size_class,size_class_B,Genome_fraction,AUTO_LEN,INDV,PropCovered,CHROM,ToKeep
A,94085008,94271990,100kb_1gb,100kb_1gb,8.59806E-05,186983,BEN_CI6,0.689414,chrB1,TRUE
A,165487472,165676178,100kb_1gb,100kb_1gb,8.67733E-05,188707,5594-DP-0003_S5,0.6336206,chrB1,TRUE
A,193368547,193557427,100kb_1gb,100kb_1gb,8.68534E-05,188881,SRR7152407,0.6013024,chrB1,TRUE
A,56769953,56958981,100kb_1gb,100kb_1gb,8.69214E-05,189029,SRR7152401,0.6329115,chrF1,TRUE
A,145717047,145906197,100kb_1gb,100kb_1gb,8.69775E-05,189151,BEN_NE1,0.6739995,chrB2,TRUE
A,104531906,104721389,100kb_1gb,100kb_1gb,8.71306E-05,189484,BEN_SI5,0.6223355,chrC1,TRUE
A,152296216,152485773,100kb_1gb,100kb_1gb,8.71647E-05,189558,BEN_CI4,0.5932411,chrC1,TRUE
A,52791497,52981292,100kb_1gb,100kb_1gb,8.72741E-05,189796,SRR7152381,0.687389,chrF2,TRUE
A,45057460,45247920,100kb_1gb,100kb_1gb,8.75799E-05,190461,SRR7152380,0.6880342,chrF1,TRUE
A,131909601,132100132,100kb_1gb,100kb_1gb,8.76125E-05,190532,SRR7152387,0.6521354,chrC2,TRUE
A,6223576,6414227,100kb_1gb,100kb_1gb,8.76677E-05,190652,BEN_NE1,0.6821102,chrA1,TRUE
A,128206899,128397606,100kb_1gb,100kb_1gb,8.76935E-05,190708,GEN8,0.6822508,chrB3,TRUE
A,3454071,3645300,100kb_1gb,100kb_1gb,8.79335E-05,191230,BEN_CI6,0.6871133,chrA1,TRUE
A,9202560,9393855,100kb_1gb,100kb_1gb,8.79638E-05,191296,BEN_SI4,0.6794584,chrA3,TRUE
A,105372857,105564481,100kb_1gb,100kb_1gb,8.81151E-05,191625,BEN_SA4,0.6355832,chrB2,TRUE
A,19778435,19971490,100kb_1gb,100kb_1gb,8.87731E-05,193056,GEN8,0.6938437,chrE2,TRUE
A,8963765,9156855,100kb_1gb,100kb_1gb,8.87892E-05,193091,BEN_SI5,0.6961417,chrA3,TRUE
A,12775135,12968537,100kb_1gb,100kb_1gb,8.89327E-05,193403,BEN_CI5,0.6292748,chrA3,TRUE
A,12289841,12483364,100kb_1gb,100kb_1gb,8.89883E-05,193524,SRR7152401,0.6135601,chrC2,TRUE
A,47261976,47455622,100kb_1gb,100kb_1gb,8.90449E-05,193647,MAL10,0.5948741,chrD2,TRUE
A,13313700,13507522,100kb_1gb,100kb_1gb,8.91258E-05,193823,BEN_SI1,0.6705534,chrC1,TRUE
A,26855468,27049660,100kb_1gb,100kb_1gb,8.9296E-05,194193,BEN_NE2,0.6983861,chrA3,TRUE
A,11596356,11791199,100kb_1gb,100kb_1gb,8.95953E-05,194844,BEN_SI2,0.6107276,chrC2,TRUE
A,15837659,16032848,100kb_1gb,100kb_1gb,8.97544E-05,195190,SRR5591010,0.6687672,chrF2,TRUE
A,37238706,37434424,100kb_1gb,100kb_1gb,8.99977E-05,195719,BEN_SI4,0.5929194,chrD1,TRUE
A,141650432,141846318,100kb_1gb,100kb_1gb,9.00749E-05,195887,BEN_CI3,0.7094075,chrB1,TRUE
A,129225111,129421087,100kb_1gb,100kb_1gb,9.01163E-05,195977,SRR7152381,0.6835684,chrB3,TRUE
A,84142155,84338241,100kb_1gb,100kb_1gb,9.01669E-05,196087,SRR7152402,0.7024163,chrD3,TRUE
A,113037535,113233669,100kb_1gb,100kb_1gb,9.0189E-05,196135,BEN_SI3,0.6039901,chrB2,TRUE
A,18864441,19060788,100kb_1gb,100kb_1gb,9.02869E-05,196348,BEN_CI5,0.6718921,chrE3,TRUE
A,15393921,15590921,100kb_1gb,100kb_1gb,9.05872E-05,197001,SRR7152380,0.6985736,chrA1,TRUE
A,174064737,174261906,100kb_1gb,100kb_1gb,9.06649E-05,197170,AMU21,0.6353534,chrA1,TRUE
A,3162415,3359751,100kb_1gb,100kb_1gb,9.07417E-05,197337,BEN_NE2,0.7043266,chrA3,TRUE
A,142667137,142864706,100kb_1gb,100kb_1gb,9.08488E-05,197570,MAL10,0.5885741,chrB2,TRUE
A,113044971,113242571,100kb_1gb,100kb_1gb,9.08631E-05,197601,SRR7152381,0.592505,chrB2,TRUE
A,41054026,41252031,100kb_1gb,100kb_1gb,9.10493E-05,198006,GEN5,0.6943511,chrE2,TRUE
A,119621151,119819339,100kb_1gb,100kb_1gb,9.11335E-05,198189,SRR5591010,0.6203454,chrB2,TRUE
A,47213111,47411773,100kb_1gb,100kb_1gb,9.13514E-05,198663,MAL26,0.6322145,chrB4,TRUE
A,36400411,36599536,100kb_1gb,100kb_1gb,9.15643E-05,199126,SRR7152398,0.6065938,chrD2,TRUE
A,95133652,95333081,100kb_1gb,100kb_1gb,9.17041E-05,199430,SRR5591010,0.6600745,chrB4,TRUE
A,5852036,6051654,100kb_1gb,100kb_1gb,9.1791E-05,199619,BEN_SI6,0.6773087,chrB4,TRUE
A,8439140,8638857,100kb_1gb,100kb_1gb,9.18365E-05,199718,BEN_SI2,0.596469,chrB1,TRUE
A,179785209,179984957,100kb_1gb,100kb_1gb,9.18508E-05,199749,BEN_SA3,0.603996,chrB1,TRUE
A,8524209,8724057,100kb_1gb,100kb_1gb,9.18968E-05,199849,BEN_CI4,0.6091179,chrF2,TRUE
A,4958964,5159099,100kb_1gb,100kb_1gb,9.20287E-05,200136,5594-DP-0002_S4,0.6781772,chrF2,TRUE
A,47964641,48165652,100kb_1gb,100kb_1gb,9.24316E-05,201012,BEN_CI5,0.6293238,chrD3,TRUE
A,69144249,69345485,100kb_1gb,100kb_1gb,9.2535E-05,201237,BEN_SA4,0.6437814,chrF2,TRUE
A,67269022,67470662,100kb_1gb,100kb_1gb,9.27208E-05,201641,BEN_CI4,0.6770383,chrF2,TRUE
A,23974115,24175861,100kb_1gb,100kb_1gb,9.27695E-05,201747,SRR7152380,0.597712,chrA1,TRUE
A,45676986,45879003,100kb_1gb,100kb_1gb,9.28942E-05,202018,BEN_CI6,0.6430894,chrA3,TRUE
A,138176516,138378881,100kb_1gb,100kb_1gb,9.30542E-05,202366,BEN_CI4,0.613871,chrA2,TRUE
A,110220216,110422602,100kb_1gb,100kb_1gb,9.30638E-05,202387,BEN_CI5,0.6064056,chrD1,TRUE
A,86167479,86370119,100kb_1gb,100kb_1gb,9.31806E-05,202641,BEN_SI3,0.7158113,chrD3,TRUE
A,38812833,39015544,100kb_1gb,100kb_1gb,9.32133E-05,202712,18032FL-56-01-02,0.6338531,chrD2,TRUE
A,6602673,6805486,100kb_1gb,100kb_1gb,9.32602E-05,202814,BEN_CI6,0.6356397,chrA1,TRUE
A,27275248,27478100,100kb_1gb,100kb_1gb,9.32781E-05,202853,T17,0.5921509,chrC1,TRUE
A,56659461,56862348,100kb_1gb,100kb_1gb,9.32942E-05,202888,GEN1,0.6232879,chrF1,TRUE
A,6851652,7054808,100kb_1gb,100kb_1gb,9.34179E-05,203157,MAL1,0.7062454,chrA1,TRUE
A,78260967,78464343,100kb_1gb,100kb_1gb,9.35191E-05,203377,BEN_CI6,0.6537448,chrD3,TRUE
A,138176117,138379894,100kb_1gb,100kb_1gb,9.37035E-05,203778,BEN_CI6,0.6128857,chrA2,TRUE
A,135559964,135763873,100kb_1gb,100kb_1gb,9.37642E-05,203910,T17,0.6810832,chrC2,TRUE
A,73430425,73634771,100kb_1gb,100kb_1gb,9.39651E-05,204347,BEN_NE2,0.6569593,chrD1,TRUE
A,71361198,71565697,100kb_1gb,100kb_1gb,9.40355E-05,204500,GEN8,0.647343,chrD2,TRUE
A,142659738,142864380,100kb_1gb,100kb_1gb,9.41012E-05,204643,MAL13,0.5958259,chrB2,TRUE
A,22746392,22951224,100kb_1gb,100kb_1gb,9.41886E-05,204833,BEN_NE2,0.6861281,chrA1,TRUE
A,34877240,35082719,100kb_1gb,100kb_1gb,9.44861E-05,205480,BEN_SI3,0.6312227,chrD1,TRUE
A,37571215,37776990,100kb_1gb,100kb_1gb,9.46222E-05,205776,SRR7152381,0.6910072,chrF2,TRUE
A,37166171,37372096,100kb_1gb,100kb_1gb,9.46912E-05,205926,BEN_SA3,0.6005973,chrD3,TRUE
A,132657295,132863270,100kb_1gb,100kb_1gb,9.47142E-05,205976,BEN_SI3,0.6588324,chrC2,TRUE
A,23842485,24048514,100kb_1gb,100kb_1gb,9.4739E-05,206030,MAL7,0.6272758,chrF2,TRUE
A,10060699,10267011,100kb_1gb,100kb_1gb,9.48691E-05,206313,BEN_NE1,0.5939305,chrA3,TRUE
A,11364648,11571047,100kb_1gb,100kb_1gb,9.49091E-05,206400,AMU7,0.6093683,chrD2,TRUE
A,6287148,6493601,100kb_1gb,100kb_1gb,9.4934E-05,206454,BEN_CI2,0.5937429,chrB1,TRUE
A,38816182,39022741,100kb_1gb,100kb_1gb,9.49827E-05,206560,BEN_SA4,0.6103825,chrC2,TRUE
A,17060601,17267208,100kb_1gb,100kb_1gb,9.50048E-05,206608,BEN_NOR2,0.6153615,chrD4,TRUE
A,38170312,38376923,100kb_1gb,100kb_1gb,9.50066E-05,206612,BEN_CI4,0.6438089,chrD1,TRUE
A,80766469,80973149,100kb_1gb,100kb_1gb,9.50383E-05,206681,18032FL-56-01-02,0.5997677,chrD3,TRUE
A,144909280,145115978,100kb_1gb,100kb_1gb,9.50466E-05,206699,BEN_SA3,0.7120098,chrA2,TRUE
A,64476096,64682954,100kb_1gb,100kb_1gb,9.51202E-05,206859,BEN_SI6,0.6573737,chrB1,TRUE
A,45672167,45879280,100kb_1gb,100kb_1gb,9.52374E-05,207114,BEN_NE2,0.6428037,chrA3,TRUE
A,5357136,5564324,100kb_1gb,100kb_1gb,9.52719E-05,207189,SRR7152401,0.6982885,chrC2,TRUE
A,7847449,8054652,100kb_1gb,100kb_1gb,9.52788E-05,207204,SRR7152401,0.6497831,chrF1,TRUE
A,8719516,8926736,100kb_1gb,100kb_1gb,9.52867E-05,207221,18032FL-61-01V1-02,0.6066596,chrC2,TRUE
A,19412718,19620072,100kb_1gb,100kb_1gb,9.53483E-05,207355,SRR7152380,0.6496957,chrC2,TRUE
A,60362943,60570538,100kb_1gb,100kb_1gb,9.54591E-05,207596,BEN_NOR2,0.6690335,chrC2,TRUE
A,130397230,130604899,100kb_1gb,100kb_1gb,9.54931E-05,207670,BEN_CI3,0.6900982,chrA3,TRUE
A,13032050,13239741,100kb_1gb,100kb_1gb,9.55032E-05,207692,BEN_NE2,0.6060783,chrA1,TRUE
A,138433367,138641113,100kb_1gb,100kb_1gb,9.55285E-05,207747,BEN_CI4,0.630106,chrC2,TRUE
A,1769628,1977401,100kb_1gb,100kb_1gb,9.55409E-05,207774,BEN_SI2,0.6610484,chrB1,TRUE
A,82785395,82993414,100kb_1gb,100kb_1gb,9.56541E-05,208020,SRR7152381,0.7043155,chrD3,TRUE
A,151607936,151816382,100kb_1gb,100kb_1gb,9.58504E-05,208447,BEN_SI5,0.6866862,chrA2,TRUE
A,177101139,177309924,100kb_1gb,100kb_1gb,9.60063E-05,208786,SRR7152380,0.6593577,chrB1,TRUE
A,3615556,3824855,100kb_1gb,100kb_1gb,9.62426E-05,209300,SRR5591010,0.6711308,chrF1,TRUE
A,15242386,15452095,100kb_1gb,100kb_1gb,9.64312E-05,209710,BEN_CI3,0.5975709,chrD2,TRUE
A,54380320,54590114,100kb_1gb,100kb_1gb,9.64703E-05,209795,T18,0.6242219,chrF1,TRUE
A,79503242,79713047,100kb_1gb,100kb_1gb,9.64753E-05,209806,BEN_SI2,0.7076762,chrD3,TRUE
A,20260596,20470708,100kb_1gb,100kb_1gb,9.66165E-05,210113,AMU18,0.7000219,chrC1,TRUE
A,4605501,4815754,100kb_1gb,100kb_1gb,9.66813E-05,210254,BEN_SA4,0.6831198,chrC2,TRUE
A,135040824,135251165,100kb_1gb,100kb_1gb,9.67218E-05,210342,BEN_CI4,0.6279042,chrB2,TRUE
A,16881403,17091926,100kb_1gb,100kb_1gb,9.68055E-05,210524,BEN_SI4,0.6696275,chrA1,TRUE
A,90163584,90374111,100kb_1gb,100kb_1gb,9.68073E-05,210528,BEN_CI5,0.5885658,chrD1,TRUE
A,6462320,6673226,100kb_1gb,100kb_1gb,9.69816E-05,210907,MAL3,0.635174,chrA1,TRUE
A,126865168,127076462,100kb_1gb,100kb_1gb,9.716E-05,211295,BEN_CI5,0.6118726,chrB3,TRUE
A,83859972,84071373,100kb_1gb,100kb_1gb,9.72092E-05,211402,BEN_SI4,0.7013637,chrD3,TRUE
A,83859972,84071373,100kb_1gb,100kb_1gb,9.72092E-05,211402,SRR5591010,0.7013637,chrD3,TRUE
A,8596374,8808344,100kb_1gb,100kb_1gb,9.74708E-05,211971,BEN_NOR2,0.6218097,chrF2,TRUE
A,131318656,131530714,100kb_1gb,100kb_1gb,9.75113E-05,212059,SRR7152380,0.6197691,chrB2,TRUE
A,18802416,19014491,100kb_1gb,100kb_1gb,9.75191E-05,212076,SRR7152380,0.6448285,chrD2,TRUE
A,86162215,86374350,100kb_1gb,100kb_1gb,9.75467E-05,212136,BEN_SI4,0.7190138,chrD3,TRUE
A,73547508,73759695,100kb_1gb,100kb_1gb,9.75706E-05,212188,SRR7152407,0.6211408,chrD2,TRUE
A,69235806,69448351,100kb_1gb,100kb_1gb,9.77353E-05,212546,AMU8,0.6166224,chrB4,TRUE
A,142564668,142777246,100kb_1gb,100kb_1gb,9.77504E-05,212579,GEN5,0.6105571,chrB2,TRUE
A,147339643,147552227,100kb_1gb,100kb_1gb,9.77532E-05,212585,BEN_NOR2,0.7166861,chrC2,TRUE
A,139381979,139594581,100kb_1gb,100kb_1gb,9.77615E-05,212603,GEN22,0.7010282,chrA2,TRUE
A,124963370,125176039,100kb_1gb,100kb_1gb,9.77923E-05,212670,18032FL-61-01V1-16,0.5962223,chrA2,TRUE
A,60307109,60519822,100kb_1gb,100kb_1gb,9.78125E-05,212714,SRR7152408,0.6261348,chrD2,TRUE
A,36568384,36781347,100kb_1gb,100kb_1gb,9.79275E-05,212964,BEN_CI6,0.6269023,chrB1,TRUE
A,60493607,60706673,100kb_1gb,100kb_1gb,9.79748E-05,213067,BEN_NOR2,0.5913144,chrD2,TRUE
A,121648662,121861780,100kb_1gb,100kb_1gb,9.79987E-05,213119,SRR7152387,0.6228662,chrC2,TRUE
A,17876660,18090212,100kb_1gb,100kb_1gb,9.81983E-05,213553,BEN_NOR2,0.6808178,chrB2,TRUE
A,9976999,10190671,100kb_1gb,100kb_1gb,9.82535E-05,213673,SRR7152388,0.6358156,chrF1,TRUE
A,17134351,17348178,100kb_1gb,100kb_1gb,9.83248E-05,213828,SRR7152401,0.6599821,chrD4,TRUE
A,11553178,11767058,100kb_1gb,100kb_1gb,9.83491E-05,213881,BEN_SI6,0.650519,chrB3,TRUE
A,12298309,12512734,100kb_1gb,100kb_1gb,9.85997E-05,214426,BEN_SI5,0.70357,chrA1,TRUE
A,72487063,72701973,100kb_1gb,100kb_1gb,9.88228E-05,214911,SRR7152401,0.6441999,chrD2,TRUE
A,12434314,12649228,100kb_1gb,100kb_1gb,9.88246E-05,214915,MAL10,0.6744,chrA1,TRUE
A,2485106,2700151,100kb_1gb,100kb_1gb,9.88848E-05,215046,BEN_SI2,0.6491153,chrF2,TRUE
A,13753998,13969399,100kb_1gb,100kb_1gb,9.90485E-05,215402,BEN_CI5,0.668502,chrB2,TRUE
A,13511930,13727681,100kb_1gb,100kb_1gb,9.92095E-05,215752,MAL1,0.6051559,chrD1,TRUE
A,28306270,28522262,100kb_1gb,100kb_1gb,9.93203E-05,215993,SRR7152384,0.6282409,chrA3,TRUE
A,158986303,159202395,100kb_1gb,100kb_1gb,9.93663E-05,216093,BEN_CI3,0.5900774,chrB1,TRUE
A,35006347,35222459,100kb_1gb,100kb_1gb,9.93755E-05,216113,BEN_NE3,0.6595284,chrD1,TRUE
A,48969909,49186341,100kb_1gb,100kb_1gb,9.95226E-05,216433,BEN_CI5,0.7080607,chrB2,TRUE
A,11346573,11563575,100kb_1gb,100kb_1gb,9.97847E-05,217003,BEN_CI5,0.6355748,chrD2,TRUE
A,17350389,17567522,100kb_1gb,100kb_1gb,9.9845E-05,217134,BEN_CI3,0.6124679,chrB2,TRUE
A,162875851,163093085,100kb_1gb,100kb_1gb,9.98914E-05,217235,BEN_CI5,0.6919865,chrA1,TRUE
A,82776739,82994195,100kb_1gb,100kb_1gb,9.99935E-05,217457,BEN_SI6,0.7006475,chrD3,TRUE
A,72465206,72682807,100kb_1gb,100kb_1gb,0.00010006,217602,MAL2,0.6427866,chrD2,TRUE
A,103398023,103615716,100kb_1gb,100kb_1gb,0.000100102,217694,SRR7152381,0.627062,chrB3,TRUE
A,220442928,220660741,100kb_1gb,100kb_1gb,0.000100158,217814,BEN_SI3,0.6755795,chrA1,TRUE
A,138414542,138633215,100kb_1gb,100kb_1gb,0.000100553,218674,BEN_SI2,0.6487358,chrC2,TRUE
A,17514400,17733230,100kb_1gb,100kb_1gb,0.000100625,218831,SRR7152401,0.6939816,chrA1,TRUE
A,108290413,108509440,100kb_1gb,100kb_1gb,0.000100716,219028,BEN_SI6,0.7047807,chrA1,TRUE
A,3433920,3653012,100kb_1gb,100kb_1gb,0.000100746,219093,SRR7152391,0.6944343,chrA1,TRUE
A,170193758,170413155,100kb_1gb,100kb_1gb,0.000100886,219398,BEN_CI4,0.6374518,chrB1,TRUE
A,191749786,191969509,100kb_1gb,100kb_1gb,0.000101036,219724,BEN_SA3,0.6406931,chrB1,TRUE
A,180850059,181069783,100kb_1gb,100kb_1gb,0.000101036,219725,BEN_NE1,0.6388423,chrB1,TRUE
A,83203937,83423814,100kb_1gb,100kb_1gb,0.000101107,219878,MAL2,0.6680008,chrD3,TRUE
A,34857327,35077308,100kb_1gb,100kb_1gb,0.000101155,219982,SRR7152381,0.6342866,chrD1,TRUE
A,100951635,101171659,100kb_1gb,100kb_1gb,0.000101174,220025,SRR7152381,0.6399165,chrC2,TRUE
A,147310667,147531079,100kb_1gb,100kb_1gb,0.000101353,220413,BEN_SI1,0.712189,chrC2,TRUE
